Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
61	-45.73342	37.535828	-21.14804	-119.88043	-29.913128	7.3668513	-17.24764	-48.944508	989.4	1000.0	305000	-6.801099	13.3773985	10.78955	-130.87698	-6.801022	13.377874	13.262603	-128.55074	6.6066484	0.96971333	2432.036196947098
62	-27.680721	4.2108936	-22.160831	-35.032036	-16.412376	7.4123178	-10.627695	-30.93307	1000.0	1000.0	310000	-6.7561936	13.170248	9.764516	-129.06233	-6.7560925	13.17006	12.588773	-126.26019	6.525558	0.9831387	2474.651314020157
63	-21.385834	5.4786744	-14.374592	-29.638502	-17.449375	5.7188005	-11.485995	-28.933037	1000.0	1000.0	315000	-6.7107434	13.118414	10.219771	-125.65188	-6.710858	13.117964	11.083902	-127.85611	6.4901924	0.98071057	2516.630630970001
64	-17.345858	2.0532608	-14.571452	-20.660488	-35.206806	7.9956875	-18.783476	-44.803165	1000.0	1000.0	320000	-6.6268754	13.067259	11.0827875	-131.27443	-6.6267567	13.067437	10.677719	-130.93787	6.4510374	0.9884053	2558.7976970672607
65	-23.72636	7.6088905	-15.428966	-36.816185	-22.055758	7.6548395	-10.226329	-31.673655	1000.0	1000.0	325000	-6.578885	13.012998	10.221746	-132.58034	-6.578693	13.013356	10.832473	-133.6077	6.3627553	0.9888139	2601.773593902588
66	-26.867283	7.8217726	-15.746388	-37.802235	-21.093071	1.521618	-16.746023	-22.357126	1000.0	1000.0	330000	-6.5078874	13.006864	8.262372	-146.19547	-6.507833	13.0069475	8.541377	-148.1118	6.2750583	1.009281	2644.2542068958282
67	-25.061665	6.0647907	-17.161003	-31.39021	-17.620369	11.892413	-12.859645	-53.2027	1000.0	1000.0	335000	-6.467199	13.088495	9.021706	-142.82036	-6.4671025	13.088909	9.231521	-143.82526	6.2519736	0.96898866	2686.4514718055725
68	-27.483006	8.747631	-15.220595	-37.15979	-22.622465	5.598381	-13.937872	-28.413532	1000.0	1000.0	340000	-6.322435	12.975967	11.796387	-143.11098	-6.322376	12.976049	11.041913	-137.19557	6.11482	0.89345294	2729.111278772354
69	-27.990818	8.758966	-14.965646	-40.434258	-44.19339	1.1566182	-41.496174	-46.04826	1000.0	1000.0	345000	-6.211536	12.787634	10.521627	-122.405624	-6.211404	12.788059	13.811384	-124.15009	5.986299	0.8416466	2771.5809910297394
70	-72.83463	41.403744	-20.886091	-126.4896	-54.257957	11.626088	-37.31045	-77.4629	599.7778	1000.0	350000	-6.193696	12.869196	13.865976	-138.94159	-6.1937246	12.869315	15.335062	-130.78932	5.956258	0.86822224	2816.096570968628
71	-31.599499	20.080717	-16.056095	-71.30067	-17.490215	4.3886685	-12.79417	-26.20489	1000.0	1000.0	355000	-6.1031613	12.728154	18.985561	-129.50087	-6.1029944	12.728624	19.412716	-129.17673	5.9142456	0.86062014	2859.2253448963165
72	-28.682226	2.9182255	-24.161207	-31.784235	-29.665579	0.38446435	-28.948977	-30.171305	1000.0	1000.0	360000	-6.058203	12.723013	27.14441	-136.05531	-6.058047	12.72324	25.232975	-137.06198	5.867059	0.8801779	2901.7125248908997
73	-24.654964	6.919698	-13.599152	-33.086666	-20.096468	7.6429067	-9.267874	-29.755375	1000.0	1000.0	365000	-6.0258656	12.553289	24.350077	-135.79182	-6.025656	12.553976	25.627241	-134.6538	5.8458505	0.9038611	2944.38116979599
74	-17.401276	6.5921807	-10.076014	-29.39748	-17.434528	3.05822	-13.859317	-22.331375	1000.0	1000.0	370000	-5.9813814	12.4339075	26.280209	-127.1245	-5.981702	12.433915	25.074257	-130.33609	5.778347	0.8627093	2986.8318400382996
75	-22.088356	5.3863907	-16.599283	-31.165834	-23.354427	3.1042602	-17.891474	-26.53574	1000.0	1000.0	375000	-5.8882513	12.110827	33.822575	-122.93632	-5.888112	12.110872	36.63723	-127.845276	5.701268	0.80110204	3029.976152896881
76	-27.756268	7.446162	-19.653675	-41.077496	-49.56211	3.3353987	-43.923637	-55.058502	1000.0	1000.0	380000	-5.9325404	12.182064	15.891676	-134.96254	-5.932739	12.182698	16.405445	-137.10855	5.7903047	0.87921005	3072.3300380706787
77	-26.685421	3.1058848	-21.535019	-31.013294	-37.020008	7.5240645	-22.875088	-42.53283	1000.0	1000.0	385000	-5.988398	12.204683	18.40736	-133.60333	-5.988276	12.205572	18.044659	-135.35765	5.8119955	0.8678505	3114.948451757431
78	-47.690796	37.46949	-22.475899	-122.23779	-20.596945	3.050338	-14.718316	-25.85747	983.4	1000.0	390000	-5.9662466	12.072271	20.59232	-139.48958	-5.9664874	12.072935	20.171535	-145.18204	5.769901	0.91472536	3157.1684470176697
79	-63.545403	38.067047	-21.49758	-112.062805	-56.51177	26.93092	-23.159876	-107.60271	723.1429	883.0	395000	-6.03958	12.268962	11.077371	-146.24326	-6.03966	12.270056	8.541762	-142.89497	5.8227096	0.9600005	3198.7305459976196
80	-66.26112	32.79774	-27.634375	-106.14164	-24.313951	5.2127404	-17.235603	-31.034552	871.0	1000.0	400000	-6.0073824	12.48728	13.398197	-163.5569	-6.0076194	12.488272	15.080054	-163.29974	5.80171	0.9859255	3238.096007823944
81	-50.094482	25.12327	-25.549448	-102.317825	-32.050186	25.607962	-13.928098	-101.94724	927.0	942.1	405000	-6.0463076	12.597871	5.7108026	-169.75635	-6.046485	12.5981045	4.1457233	-167.19958	5.8771005	1.0113003	3283.110617876053
82	-51.43709	37.16852	-19.340729	-121.739105	-39.132584	6.0874033	-25.782534	-49.195198	926.6	1000.0	410000	-6.117668	12.373268	3.2380974	-164.38799	-6.117506	12.374055	3.0777974	-159.67026	5.942693	1.029987	3323.7036039829254
83	-49.205814	22.410797	-32.768696	-97.67201	-12.183424	0.84008604	-11.368145	-13.839733	881.0	1000.0	415000	-6.4263296	12.326683	5.0387964	-147.08289	-6.425997	12.327619	3.0077977	-150.05472	6.251413	1.0448557	3367.905220746994
84	-38.97477	31.64977	-16.145668	-101.59453	-18.814686	9.493121	-4.7742014	-27.399761	884.0	1000.0	420000	-6.4203796	11.966886	5.603988	-148.33957	-6.420214	11.967641	5.0074663	-143.59187	6.261017	0.9083112	3407.4363667964935
85	-51.39316	39.473076	-19.280539	-113.94019	-28.17904	5.3892717	-22.936808	-37.722378	868.3333	1000.0	425000	-6.4366374	12.0274725	6.969605	-137.47655	-6.4367857	12.027911	2.294566	-135.90778	6.24808	0.89622045	3452.219403028488
86	-33.775032	12.957378	-16.75638	-55.173485	-28.770386	4.4681945	-21.312906	-37.825	1000.0	1000.0	430000	-6.38675	12.012452	5.5560207	-129.72244	-6.386654	12.012209	5.7077417	-131.47852	6.2071433	0.9256243	3495.274552822113
87	-25.087908	7.2377744	-15.642319	-33.59238	-16.56644	4.7390175	-7.542963	-24.732435	1000.0	1000.0	435000	-6.406449	11.951996	8.103315	-132.1322	-6.4065046	11.9529085	6.781638	-126.16631	6.2290416	0.94959396	3538.0985867977142
88	-28.39851	9.840209	-20.043812	-46.80725	-37.227364	8.286723	-16.35617	-49.220383	1000.0	1000.0	440000	-6.3634496	11.780003	5.4780684	-130.4307	-6.3635225	11.781222	3.4383302	-128.5286	6.1798396	0.8850133	3580.432548761368
89	-20.735834	10.909169	-6.6803904	-35.323746	-21.67622	4.8367133	-14.781303	-28.880888	1000.0	1000.0	445000	-6.3570647	11.9425335	6.5212555	-135.42245	-6.3568726	11.942961	7.700303	-131.23282	6.1874123	0.8911439	3622.983585834503
90	-24.695053	9.51007	-11.594284	-40.957233	-21.037535	27.70468	-10.87508	-104.12939	1000.0	909.2	450000	-6.3135247	11.950333	7.8800335	-138.44598	-6.3134274	11.949937	11.292479	-139.15324	6.1009393	0.9875782	3665.1347427368164
91	-19.551527	3.6511052	-13.03451	-22.663	-21.056957	1.9010586	-18.108612	-23.18096	1000.0	1000.0	455000	-6.209778	11.833414	9.741639	-125.68179	-6.209859	11.833866	6.423007	-125.09596	6.043882	0.8640257	3707.5005798339844
92	-28.011765	6.8286314	-21.687944	-41.10017	-22.654434	1.1340708	-20.699677	-24.004692	1000.0	1000.0	460000	-6.159852	11.902912	4.545491	-127.015434	-6.159927	11.903506	4.478243	-128.6971	5.9897103	0.827751	3751.1148648262024
93	-27.014685	4.7477536	-21.20345	-35.618385	-38.16594	2.560155	-31.751093	-40.667377	1000.0	1000.0	465000	-6.044897	11.779198	5.027383	-124.59199	-6.044904	11.780035	4.2816877	-124.38597	5.833663	0.80300456	3793.7475547790527
94	-25.157269	10.432816	-13.170533	-42.21608	-20.164213	3.749597	-13.373741	-24.472733	1000.0	1000.0	470000	-5.9797773	11.796227	11.327617	-127.13658	-5.979714	11.796504	12.745615	-123.98195	5.7361493	0.916067	3836.7282769680023
95	-29.43014	11.285835	-18.990023	-47.099277	-16.536575	2.3193693	-12.128839	-20.317675	1000.0	1000.0	475000	-5.966166	11.771116	4.520597	-123.821594	-5.9662085	11.771155	4.2355375	-125.28051	5.8021326	0.8343784	3879.977302789688
96	-22.10503	2.9216838	-16.772116	-25.552835	-16.307316	4.6737914	-4.494924	-21.633543	1000.0	1000.0	480000	-5.9300246	11.56716	4.6832547	-125.82574	-5.9300237	11.567096	4.588967	-127.02432	5.7176347	0.81701404	3922.9133439064026
97	-19.111572	4.599445	-10.24494	-22.49237	-15.054776	2.1999867	-12.570751	-20.941538	1000.0	1000.0	485000	-5.9056883	11.613223	3.9249601	-131.17519	-5.9055557	11.613522	3.7811375	-129.57628	5.7450604	0.85639083	3977.457401752472
