data/sac_auto_baseline_train/sac_auto_500_ez/sac_auto_500_ez_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579887683/progress.txt[0m
Episode 438 	 EpRet -89.033 	 EpLen 89
Episode 439 	 EpRet -87.380 	 EpLen 95
Episode 440 	 EpRet -94.210 	 EpLen 133
Episode 441 	 EpRet -100.329 	 EpLen 128
Episode 442 	 EpRet -84.100 	 EpLen 95
Episode 443 	 EpRet -93.417 	 EpLen 72
Episode 444 	 EpRet -62.104 	 EpLen 154
Episode 445 	 EpRet -90.570 	 EpLen 127
Episode 446 	 EpRet -97.974 	 EpLen 126
Episode 447 	 EpRet -90.992 	 EpLen 77
Episode 448 	 EpRet -74.773 	 EpLen 120
Episode 449 	 EpRet -90.774 	 EpLen 78
Episode 450 	 EpRet -73.884 	 EpLen 146
Episode 451 	 EpRet -79.945 	 EpLen 123
Episode 452 	 EpRet -69.770 	 EpLen 131
Episode 453 	 EpRet -89.013 	 EpLen 118
Episode 454 	 EpRet -88.117 	 EpLen 94
Episode 455 	 EpRet -81.966 	 EpLen 97
Episode 456 	 EpRet -80.126 	 EpLen 104
Episode 457 	 EpRet -90.092 	 EpLen 115
Episode 458 	 EpRet -89.603 	 EpLen 90
Episode 459 	 EpRet -95.902 	 EpLen 129
Episode 460 	 EpRet -92.287 	 EpLen 72
Episode 461 	 EpRet -89.967 	 EpLen 82
Episode 462 	 EpRet -90.061 	 EpLen 91
Episode 463 	 EpRet -81.178 	 EpLen 131
Episode 464 	 EpRet -76.678 	 EpLen 135
Episode 465 	 EpRet -70.088 	 EpLen 146
Episode 466 	 EpRet -55.406 	 EpLen 152
Episode 467 	 EpRet -86.579 	 EpLen 89
Episode 468 	 EpRet -77.186 	 EpLen 116
Episode 469 	 EpRet -87.035 	 EpLen 108
Episode 470 	 EpRet -73.012 	 EpLen 125
Episode 471 	 EpRet -59.006 	 EpLen 170
Episode 472 	 EpRet -82.153 	 EpLen 111
Episode 473 	 EpRet -71.321 	 EpLen 127
Episode 474 	 EpRet -78.644 	 EpLen 136
Episode 475 	 EpRet -85.513 	 EpLen 91
Episode 476 	 EpRet -74.816 	 EpLen 145
Episode 477 	 EpRet -92.358 	 EpLen 128
Episode 478 	 EpRet -61.831 	 EpLen 144
Episode 479 	 EpRet -90.178 	 EpLen 119
Episode 480 	 EpRet -89.486 	 EpLen 130
Episode 481 	 EpRet -70.786 	 EpLen 135
Episode 482 	 EpRet -88.783 	 EpLen 108
Episode 483 	 EpRet -89.889 	 EpLen 71
Episode 484 	 EpRet -89.175 	 EpLen 80
Episode 485 	 EpRet -68.422 	 EpLen 134
Episode 486 	 EpRet -77.538 	 EpLen 119
Episode 487 	 EpRet -87.822 	 EpLen 90
Episode 488 	 EpRet -81.022 	 EpLen 106
Episode 489 	 EpRet -83.106 	 EpLen 111
Episode 490 	 EpRet -89.206 	 EpLen 130
Episode 491 	 EpRet -88.988 	 EpLen 130
Episode 492 	 EpRet -59.067 	 EpLen 149
Episode 493 	 EpRet -84.208 	 EpLen 112
Episode 494 	 EpRet -90.664 	 EpLen 96
Episode 495 	 EpRet -69.923 	 EpLen 165
Episode 496 	 EpRet -69.118 	 EpLen 147
Episode 497 	 EpRet -90.044 	 EpLen 81
Episode 498 	 EpRet -67.071 	 EpLen 155
Episode 499 	 EpRet -74.802 	 EpLen 134
-------------------------------------
|    AverageEpRet |           -81.4 |
|        StdEpRet |              11 |
|        MaxEpRet |           -32.9 |
|        MinEpRet |            -103 |
|           EpLen |             117 |
-------------------------------------
