data/sac_auto_baseline_train/sac_auto_500_ez/sac_auto_500_ez_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579887760/progress.txt[0m
Episode 237 	 EpRet 321.313 	 EpLen 704
Episode 238 	 EpRet 321.638 	 EpLen 711
Episode 239 	 EpRet 320.914 	 EpLen 715
Episode 240 	 EpRet 320.306 	 EpLen 712
Episode 241 	 EpRet 320.983 	 EpLen 719
Episode 242 	 EpRet 320.313 	 EpLen 719
Episode 243 	 EpRet 320.709 	 EpLen 713
Episode 244 	 EpRet 320.959 	 EpLen 715
Episode 245 	 EpRet 321.175 	 EpLen 712
Episode 246 	 EpRet 320.561 	 EpLen 718
Episode 247 	 EpRet 319.587 	 EpLen 718
Episode 248 	 EpRet 321.738 	 EpLen 712
Episode 249 	 EpRet 319.822 	 EpLen 716
Episode 250 	 EpRet 321.518 	 EpLen 712
Episode 251 	 EpRet 321.199 	 EpLen 714
Episode 252 	 EpRet 321.249 	 EpLen 717
Episode 253 	 EpRet 320.544 	 EpLen 717
Episode 254 	 EpRet 320.441 	 EpLen 719
Episode 255 	 EpRet 320.805 	 EpLen 717
Episode 256 	 EpRet 321.143 	 EpLen 713
Episode 257 	 EpRet 321.620 	 EpLen 710
Episode 258 	 EpRet 320.455 	 EpLen 716
Episode 259 	 EpRet 319.958 	 EpLen 720
Episode 260 	 EpRet 320.188 	 EpLen 715
Episode 261 	 EpRet 321.230 	 EpLen 711
Episode 262 	 EpRet 320.073 	 EpLen 715
Episode 263 	 EpRet 319.772 	 EpLen 714
Episode 264 	 EpRet 320.109 	 EpLen 721
Episode 265 	 EpRet 321.057 	 EpLen 711
Episode 266 	 EpRet 320.497 	 EpLen 715
Episode 267 	 EpRet 320.262 	 EpLen 719
Episode 268 	 EpRet 320.053 	 EpLen 722
Episode 269 	 EpRet 321.105 	 EpLen 708
Episode 270 	 EpRet 320.543 	 EpLen 713
Episode 271 	 EpRet 320.965 	 EpLen 716
Episode 272 	 EpRet 321.517 	 EpLen 717
Episode 273 	 EpRet 321.123 	 EpLen 716
Episode 274 	 EpRet 320.952 	 EpLen 713
Episode 275 	 EpRet 320.472 	 EpLen 715
Episode 276 	 EpRet 321.602 	 EpLen 716
Episode 277 	 EpRet 320.668 	 EpLen 713
Episode 278 	 EpRet 319.504 	 EpLen 718
Episode 279 	 EpRet 319.834 	 EpLen 718
Episode 280 	 EpRet 321.265 	 EpLen 711
Episode 281 	 EpRet 320.365 	 EpLen 717
Episode 282 	 EpRet 320.891 	 EpLen 717
Episode 283 	 EpRet 321.299 	 EpLen 714
Episode 284 	 EpRet 320.844 	 EpLen 724
Episode 285 	 EpRet 320.593 	 EpLen 720
Episode 286 	 EpRet 319.694 	 EpLen 719
Episode 287 	 EpRet 320.538 	 EpLen 718
Episode 288 	 EpRet 320.097 	 EpLen 720
Episode 289 	 EpRet 320.107 	 EpLen 718
