data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888096/progress.txt[0m
Episode 193 	 EpRet -50.536 	 EpLen 2000
Episode 194 	 EpRet -53.592 	 EpLen 2000
Episode 195 	 EpRet -107.871 	 EpLen 265
Episode 196 	 EpRet -59.831 	 EpLen 2000
Episode 197 	 EpRet -82.988 	 EpLen 2000
Episode 198 	 EpRet -26.624 	 EpLen 2000
Episode 199 	 EpRet -26.588 	 EpLen 2000
Episode 200 	 EpRet -38.250 	 EpLen 2000
Episode 201 	 EpRet 65.322 	 EpLen 2000
Episode 202 	 EpRet -28.947 	 EpLen 2000
Episode 203 	 EpRet -33.003 	 EpLen 2000
Episode 204 	 EpRet 79.014 	 EpLen 2000
Episode 205 	 EpRet 220.743 	 EpLen 2000
Episode 206 	 EpRet -2.898 	 EpLen 2000
Episode 207 	 EpRet 55.761 	 EpLen 2000
Episode 208 	 EpRet -43.254 	 EpLen 2000
Episode 209 	 EpRet -30.333 	 EpLen 2000
Episode 210 	 EpRet -0.839 	 EpLen 2000
Episode 211 	 EpRet -49.729 	 EpLen 2000
Episode 212 	 EpRet 16.288 	 EpLen 2000
Episode 213 	 EpRet -60.089 	 EpLen 2000
Episode 214 	 EpRet 1.631 	 EpLen 2000
Episode 215 	 EpRet 5.134 	 EpLen 2000
Episode 216 	 EpRet -47.128 	 EpLen 2000
Episode 217 	 EpRet -29.355 	 EpLen 2000
Episode 218 	 EpRet -44.050 	 EpLen 2000
Episode 219 	 EpRet -42.791 	 EpLen 2000
Episode 220 	 EpRet -71.393 	 EpLen 663
Episode 221 	 EpRet -22.025 	 EpLen 2000
Episode 222 	 EpRet -43.129 	 EpLen 2000
Episode 223 	 EpRet -56.829 	 EpLen 2000
Episode 224 	 EpRet -53.617 	 EpLen 2000
Episode 225 	 EpRet -66.428 	 EpLen 2000
Episode 226 	 EpRet -72.079 	 EpLen 2000
Episode 227 	 EpRet -130.386 	 EpLen 777
Episode 228 	 EpRet -28.909 	 EpLen 2000
Episode 229 	 EpRet -24.905 	 EpLen 2000
Episode 230 	 EpRet -26.529 	 EpLen 2000
Episode 231 	 EpRet 0.248 	 EpLen 2000
Episode 232 	 EpRet -55.042 	 EpLen 2000
Episode 233 	 EpRet 14.776 	 EpLen 2000
Episode 234 	 EpRet -12.037 	 EpLen 2000
Episode 235 	 EpRet -6.883 	 EpLen 2000
Episode 236 	 EpRet -108.913 	 EpLen 458
Episode 237 	 EpRet -55.433 	 EpLen 2000
Episode 238 	 EpRet -33.361 	 EpLen 2000
Episode 239 	 EpRet -78.785 	 EpLen 2000
Episode 240 	 EpRet -4.299 	 EpLen 2000
Episode 241 	 EpRet -141.880 	 EpLen 2000
Episode 242 	 EpRet -57.561 	 EpLen 2000
Episode 243 	 EpRet 96.920 	 EpLen 2000
Episode 244 	 EpRet -115.185 	 EpLen 208
Episode 245 	 EpRet -41.447 	 EpLen 2000
Episode 246 	 EpRet 7.562 	 EpLen 2000
Episode 247 	 EpRet -69.775 	 EpLen 2000
Episode 248 	 EpRet -4.520 	 EpLen 2000
Episode 249 	 EpRet -37.492 	 EpLen 2000
Episode 250 	 EpRet 21.555 	 EpLen 2000
Episode 251 	 EpRet -43.755 	 EpLen 2000
Episode 252 	 EpRet -110.683 	 EpLen 2000
Episode 253 	 EpRet 13.056 	 EpLen 2000
Episode 254 	 EpRet -73.030 	 EpLen 328
Episode 255 	 EpRet -68.429 	 EpLen 2000
Episode 256 	 EpRet 27.464 	 EpLen 2000
Episode 257 	 EpRet -31.579 	 EpLen 2000
Episode 258 	 EpRet 102.740 	 EpLen 2000
Episode 259 	 EpRet -80.586 	 EpLen 533
Episode 260 	 EpRet -5.783 	 EpLen 2000
Episode 261 	 EpRet -91.531 	 EpLen 2000
Episode 262 	 EpRet -146.341 	 EpLen 781
Episode 263 	 EpRet 5.069 	 EpLen 2000
Episode 264 	 EpRet -106.852 	 EpLen 2000
Episode 265 	 EpRet -46.113 	 EpLen 2000
Episode 266 	 EpRet -19.485 	 EpLen 2000
Episode 267 	 EpRet 4.023 	 EpLen 2000
Episode 268 	 EpRet 19.171 	 EpLen 2000
Episode 269 	 EpRet -6.358 	 EpLen 2000
Episode 270 	 EpRet -86.146 	 EpLen 2000
Episode 271 	 EpRet -19.774 	 EpLen 2000
Episode 272 	 EpRet -89.592 	 EpLen 2000
Episode 273 	 EpRet -52.423 	 EpLen 2000
Episode 274 	 EpRet -9.390 	 EpLen 2000
Episode 275 	 EpRet 33.397 	 EpLen 2000
Episode 276 	 EpRet -83.992 	 EpLen 2000
Episode 277 	 EpRet 161.826 	 EpLen 2000
Episode 278 	 EpRet -15.079 	 EpLen 2000
Episode 279 	 EpRet -101.221 	 EpLen 467
Episode 280 	 EpRet -63.481 	 EpLen 2000
Episode 281 	 EpRet -59.737 	 EpLen 2000
Episode 282 	 EpRet -73.900 	 EpLen 2000
Episode 283 	 EpRet 38.964 	 EpLen 2000
Episode 284 	 EpRet -81.534 	 EpLen 2000
Episode 285 	 EpRet -29.384 	 EpLen 702
Episode 286 	 EpRet 7.014 	 EpLen 2000
Episode 287 	 EpRet -51.414 	 EpLen 2000
Episode 288 	 EpRet -18.711 	 EpLen 2000
Episode 289 	 EpRet 41.959 	 EpLen 2000
Episode 290 	 EpRet -84.348 	 EpLen 2000
Episode 291 	 EpRet 48.959 	 EpLen 2000
Episode 292 	 EpRet 184.585 	 EpLen 2000
Episode 293 	 EpRet -85.441 	 EpLen 2000
