data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888946/progress.txt[0m
Episode 223 	 EpRet 265.442 	 EpLen 1390
Episode 224 	 EpRet 272.040 	 EpLen 1297
Episode 225 	 EpRet 269.969 	 EpLen 1276
Episode 226 	 EpRet 267.194 	 EpLen 1320
Episode 227 	 EpRet 88.374 	 EpLen 1600
Episode 228 	 EpRet 275.619 	 EpLen 1244
Episode 229 	 EpRet 276.738 	 EpLen 1224
Episode 230 	 EpRet 274.117 	 EpLen 1250
Episode 231 	 EpRet 266.581 	 EpLen 1343
Episode 232 	 EpRet 275.096 	 EpLen 1239
Episode 233 	 EpRet 272.269 	 EpLen 1282
Episode 234 	 EpRet 276.796 	 EpLen 1252
Episode 235 	 EpRet 271.904 	 EpLen 1256
Episode 236 	 EpRet 266.303 	 EpLen 1348
Episode 237 	 EpRet 273.042 	 EpLen 1273
Episode 238 	 EpRet 171.675 	 EpLen 1600
Episode 239 	 EpRet 264.789 	 EpLen 1360
Episode 240 	 EpRet 277.128 	 EpLen 1245
Episode 241 	 EpRet 272.262 	 EpLen 1289
Episode 242 	 EpRet 268.671 	 EpLen 1298
Episode 243 	 EpRet 266.105 	 EpLen 1331
Episode 244 	 EpRet 263.523 	 EpLen 1369
Episode 245 	 EpRet 265.163 	 EpLen 1335
Episode 246 	 EpRet 270.963 	 EpLen 1289
Episode 247 	 EpRet 274.082 	 EpLen 1255
Episode 248 	 EpRet 269.871 	 EpLen 1280
Episode 249 	 EpRet 266.904 	 EpLen 1339
Episode 250 	 EpRet 282.057 	 EpLen 1195
Episode 251 	 EpRet 269.176 	 EpLen 1290
Episode 252 	 EpRet 271.674 	 EpLen 1277
Episode 253 	 EpRet 264.308 	 EpLen 1340
Episode 254 	 EpRet 271.823 	 EpLen 1282
Episode 255 	 EpRet 272.560 	 EpLen 1275
Episode 256 	 EpRet 266.213 	 EpLen 1320
Episode 257 	 EpRet 273.078 	 EpLen 1270
Episode 258 	 EpRet 64.951 	 EpLen 1600
Episode 259 	 EpRet 271.498 	 EpLen 1296
Episode 260 	 EpRet 172.739 	 EpLen 1600
Episode 261 	 EpRet 273.074 	 EpLen 1250
Episode 262 	 EpRet 271.809 	 EpLen 1291
Episode 263 	 EpRet 271.831 	 EpLen 1297
Episode 264 	 EpRet 271.752 	 EpLen 1272
Episode 265 	 EpRet 28.001 	 EpLen 1600
Episode 266 	 EpRet 241.835 	 EpLen 1600
Episode 267 	 EpRet 265.583 	 EpLen 1336
Episode 268 	 EpRet 272.602 	 EpLen 1287
Episode 269 	 EpRet 266.759 	 EpLen 1372
Episode 270 	 EpRet 269.200 	 EpLen 1327
Episode 271 	 EpRet 271.302 	 EpLen 1275
Episode 272 	 EpRet 278.268 	 EpLen 1213
Episode 273 	 EpRet 278.330 	 EpLen 1221
Episode 274 	 EpRet 270.066 	 EpLen 1284
Episode 275 	 EpRet 273.694 	 EpLen 1287
Episode 276 	 EpRet 273.068 	 EpLen 1262
Episode 277 	 EpRet 267.185 	 EpLen 1341
Episode 278 	 EpRet 272.629 	 EpLen 1257
Episode 279 	 EpRet 220.027 	 EpLen 1600
Episode 280 	 EpRet 271.203 	 EpLen 1290
Episode 281 	 EpRet 268.592 	 EpLen 1329
Episode 282 	 EpRet 271.837 	 EpLen 1284
Episode 283 	 EpRet 266.175 	 EpLen 1335
Episode 284 	 EpRet 278.866 	 EpLen 1225
Episode 285 	 EpRet 279.595 	 EpLen 1189
Episode 286 	 EpRet 123.721 	 EpLen 1600
Episode 287 	 EpRet 269.287 	 EpLen 1304
Episode 288 	 EpRet 267.264 	 EpLen 1310
Episode 289 	 EpRet 178.741 	 EpLen 1600
Episode 290 	 EpRet 272.608 	 EpLen 1286
Episode 291 	 EpRet 279.815 	 EpLen 1205
Episode 292 	 EpRet 276.421 	 EpLen 1248
Episode 293 	 EpRet 270.627 	 EpLen 1311
Episode 294 	 EpRet 270.304 	 EpLen 1300
Episode 295 	 EpRet 271.819 	 EpLen 1279
Episode 296 	 EpRet 122.204 	 EpLen 1600
Episode 297 	 EpRet 272.798 	 EpLen 1239
Episode 298 	 EpRet 264.301 	 EpLen 1355
Episode 299 	 EpRet 271.208 	 EpLen 1317
Episode 300 	 EpRet 274.823 	 EpLen 1269
Episode 301 	 EpRet 162.659 	 EpLen 1600
Episode 302 	 EpRet 273.265 	 EpLen 1277
Episode 303 	 EpRet 60.742 	 EpLen 1600
Episode 304 	 EpRet 272.948 	 EpLen 1289
Episode 305 	 EpRet 264.491 	 EpLen 1382
Episode 306 	 EpRet 274.703 	 EpLen 1286
Episode 307 	 EpRet 260.311 	 EpLen 1422
Episode 308 	 EpRet 266.429 	 EpLen 1322
Episode 309 	 EpRet 266.840 	 EpLen 1326
Episode 310 	 EpRet 272.802 	 EpLen 1277
Episode 311 	 EpRet 264.212 	 EpLen 1354
Episode 312 	 EpRet -52.695 	 EpLen 394
Episode 313 	 EpRet 265.898 	 EpLen 1369
Episode 314 	 EpRet 264.143 	 EpLen 1341
Episode 315 	 EpRet 271.613 	 EpLen 1298
Episode 316 	 EpRet 273.228 	 EpLen 1300
Episode 317 	 EpRet 260.267 	 EpLen 1404
Episode 318 	 EpRet 266.857 	 EpLen 1322
Episode 319 	 EpRet 266.280 	 EpLen 1360
Episode 320 	 EpRet 269.189 	 EpLen 1293
Episode 321 	 EpRet 278.647 	 EpLen 1202
Episode 322 	 EpRet 276.299 	 EpLen 1225
Episode 323 	 EpRet 275.636 	 EpLen 1263
Episode 324 	 EpRet 267.075 	 EpLen 1312
Episode 325 	 EpRet 267.013 	 EpLen 1363
Episode 326 	 EpRet 273.444 	 EpLen 1264
Episode 327 	 EpRet 266.423 	 EpLen 1322
Episode 328 	 EpRet 281.611 	 EpLen 1186
